strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,162.7,139.9,0.9231,239.8,25,9,8
A/Bangkok/P3755/2023,1.07,1.05,1.09,95.92,84.68,0.9487,156,24,11,10
A/Bhutan/0845/2023,1.09,1.08,1.1,120,108.3,0.9737,247.2,23,10,8
A/Catalonia/2041146NS/2023,0.97,0.95,0.98,98.92,86.12,0.9744,158.3,14,6,5
A/EHIME/50/2023,0.93,0.91,0.95,142.6,144,0.8718,248.8,15,6,6
A/Finland/391/2023,0.92,0.91,0.92,156.9,146.6,0.9487,220.5,11,6,6
A/Georgia/40/2023,1.1,1.09,1.12,127.1,122.6,0.9487,226.1,21,9,8
A/Jeju/1047/2023,0.88,0.86,0.9,208.5,199.9,0.8718,320.9,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.04,151.8,152.8,0.9487,261.9,23,9,8
A/Ontario/RV00796/2023,1.16,1.15,1.17,99.43,87.52,0.9744,167.9,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,154.1,151,0.8974,271.8,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.08,115,117,0.9744,167.6,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.88,0.91,209.1,191.1,0.8718,299.4,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,1,1.02,99.22,81.89,0.9231,202.8,25,10,9
A/SouthDakota/22/2023,0.86,0.83,0.9,157.1,162.5,0.8684,269.5,12,4,4
A/Sydney/332/2023,1.01,1.01,1.02,119.8,96.13,0.9487,186.7,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,144.1,152,0.9231,261.5,12,5,4
A/Massachusetts/18/2022,1,1,1,159.6,145.1,0.8974,240.9,20,8,7
